A,B,C,D,E,F,G,H,Q,R,S,T,U,V,W,X
8,8,8,8,8,1,1,1,8,8,1,8,8,,8,1
1,8,8,8,,8,1,8,1,1,1,8,8,8,8,8
1,1,8,8,8,,1,8,1,1,8,8,1,,1,1
8,1,8,,,8,8,1,1,1,1,1,,8,8,1
8,1,8,8,8,8,,1,1,1,1,4,8,8,8,8
8,8,8,1,1,8,8,8,8,8,8,8,1,8,1,8
1,8,1,,1,8,1,1,8,8,8,8,1,8,8,8
8,1,8,8,8,8,8,1,8,8,8,8,4,8,8,1
1,1,,1,8,8,1,1,8,1,1,,1,,8,8
8,1,8,1,8,8,1,1,1,8,8,,8,8,8,1
8,8,8,1,8,,8,8,1,1,8,1,1,8,1,8
1,1,,8,8,8,8,8,8,8,8,1,1,8,1,4
1,8,1,8,,,8,8,1,1,1,8,8,8,,1
8,8,,1,8,8,8,8,1,1,1,1,,1,8,8
8,8,8,8,8,4,,1,8,8,8,1,1,8,1,8
1,1,8,8,8,1,8,8,1,8,1,8,1,1,8,1