aa,ab,ac,ad,ae,af,ag,ah,ai,aj,ak,al,am,an,ao,ap
8,1,1,8,8,1,8,8,1,1,8,1,8,1,8,8
8,,1,8,8,1,8,8,8,8,1,8,1,8,8,8
8,1,8,8,8,1,1,8,1,8,1,8,1,8,8,1
1,1,8,8,8,8,1,8,8,1,8,8,1,8,8,8
8,1,8,8,8,1,1,1,8,8,8,8,1,8,8,8
8,8,8,1,1,1,8,8,8,1,8,8,8,8,1,1
1,1,8,1,1,8,8,8,1,1,1,1,,8,1,8
1,8,8,1,1,8,1,8,8,8,,8,8,1,8,1
1,8,1,1,8,1,1,1,1,8,8,1,1,8,8,8
1,1,8,8,8,8,1,8,8,1,8,8,8,8,8,8
1,1,1,1,1,1,4,8,8,1,1,1,8,1,8,1
8,8,1,1,8,8,8,8,1,8,8,8,1,1,1,8
8,1,1,8,8,,8,1,8,1,1,8,8,8,8,8
8,1,1,1,8,1,1,8,8,1,8,8,1,8,1,8
8,1,1,,8,1,1,1,1,8,1,1,8,8,8,1
1,8,8,8,1,8,8,1,8,1,1,8,1,1,8,1